Organization,Ftype,RoundUSS,Investor,NXTP Labs,Monashees,Kaszek Ventures,Mountain Nazca,Redpoint eventures,Bozano Investimentos,Aurus,Investo,Alta Ventures Mexico,ALLVP,Angel Ventures,IGNIA,CRP Companhia de Participaçõe,e.Bricks Ventures,Confrapar,Magma Partners,CORFO,SP Ventures,DGF Investimentos,Mercado Libre Fund,Inseed Investimentos,Criatec 2,Astella Investimentos,DILA Capital,Velum Ventures,FCP,Scale Capital,Alaya Capital,Polymath,Primary Ventures,T2m Capital,Omidyar Network,Elevar Equity,Quona Capital,Gray Matters Capital,Performa Investimentos,Vox Capital,Promotora Social México,Pomona Impact,MOV Investimentos
Tu Canton,Angel,"982,065.20","Angel Ventures, DILA Capital",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Acsendo,Seed,"350,000.00","Velum Ventures, Veronorte",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Prepona,Venture - Series Unknown,"1,109,660.57",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SegundoHogar,Seed,  ,"Angel Ventures, CrunchFund",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escale,Seed,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streamup,Seed,"1,000,000.00","BAM Ventures, Mucker Capital, NXTP Labs, Social Starts",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oktagon Games,Series B,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Miroculus,Seed,"2,300,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junar,Series B,"550,000.00","Aurus, Carao Ventures, Sand Hill Angels",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YContent,Series A,"1,000,000.00","500 Startups, e.Bricks Ventures, Initial Capital, Rhodium",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Onko Solutions,Convertible Note,  ,"Angel Ventures, Asenza Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Onlulo, Inc",Seed,  ,Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuve,Series A,"6,210,525.00","Alta Ventures Mexico, Capital Factory, Marc Bell Ventures, MITA Ventures",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dress & Go,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartbill Assinaturas,Series A,"657,030.22","Astella Investimentos, SP Ventures",,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,
99,Series B,"25,000,000.00","GE32 Capital, Monashees, Qualcomm, Tiger Global Management",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChileTrabajos,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Olist,Seed,"835,000.00","500 Startups, DeNA, Fabio Gabaldo, Flavio Dias, Ian McNish, Leonardo Teixeira, Paulo Piccini, Redpoint eventures, Unreasonable Capital",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu Canton,Venture - Series Unknown,  ,"Angel Ventures, DILA Capital",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Guidecentral,Seed,"1,000,000.00","Ary Chame, Enterprise Ireland, Fernando Iervasi, Giovanni Stella, Jane Smith, NXTP Labs, Robert Gober, South Ventures, Victor Valle",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cortex Intelligence,Series A,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutorya,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
IntooBR,Seed,  ,"Accion Venture Lab, Monashees, Redpoint",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Médica Santa Carmen,Series A,"7,435,051.98","ALLVP, Promotora Social México",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Bluesmart,Seed,  ,"Amadeus Ventures, Cherubic Ventures, Cota Capital, Fairhaven Capital Partners, Fenox Venture Capital, FundersClub, GE32 Capital, German Ventures, Gil Penchina, IronCapital, Marcos Galperin, Michael Seibel, Monashees, Mountain Nazca, Mountain Partners, NKM Capital, Pear Ventures, Semil Shah, Socialatom Ventures, Steelhead Ventures, LLC, Western Technology Investment, XG Ventures, Y Combinator, Yunqi Partners, Zillionize Angel",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrategia Energía Eléctrica,Seed,"350,000.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercado Eletrônico,Private Equity,"9,554,140.13",DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
YOP,Seed,"1,000,000.00",Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOP,Seed,"1,100,000.00",Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmacias Personalizadas,Series A,"1,969,550.16",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blink,Seed,"1,000,000.00","Al Bartosic, Cristóbal Conde, Marques Torbert, NXTP Labs, Ying Ang, Zephyr Management",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MR Presta,Seed,"600,000.00","Mercado Libre Fund, Wayra",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Bandhub,Seed,  ,"Angel Ventures, Soldiers Field Angels",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jampp,Series A,"7,000,000.00","Endeavor Catalyst, Highland Europe, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContaAzul,Series C,"7,099,751.51","500 Startups, Monashees, Ribbit Capital, Tiger Global Management, Valar Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoxFeed,Seed,"1,700,000.00","Agave Lab, GAIN Capital, Mountain Nazca, Sage Venture Partners",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventrix,Seed,"1,774,937.88","Bozano Investimentos, Criatec 2, SP Ventures, Triaxis Capital",,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
ChefsClub,Series A,"1,000,000.00",Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Me Salva!,Seed,  ,"e.Bricks Ventures, initial.vc",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
AppProva,Seed,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Series A,"15,000,000.00","GE32 Capital, Monashees, Qualcomm Ventures, Tiger Global Management",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEXXTO,Series A,"1,242,456.51",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
HTP Solution,Seed,"887,468.94","Bozano Investimentos, Criatec 2, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Asegurate Facil,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Venzee Technologies Inc.,Convertible Note,"1,175,000.00","Angel Ventures, Bodley Group, Gerbera Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaro,Series A,"1,000,000.00",Astella Investimentos,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Bluesmart,Product Crowdfunding,"2,000,000.00","FundersClub, Mind the Seed - MTS Fund, NXTP Labs, Semil Shah",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tbit,Seed,"2,100,000.00","Inseed Investimentos, Monsanto Growth Ventures (MGV), MSW Capital",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Mosyle,Seed,"1,000,000.00",DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
bLive,Seed,"947,687.64",Criatec 2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Rappi,Seed,"120,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redspread,Seed,"120,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carobhouse,Series A,"2,000,000.00",CRP Companhia de Participaçõe,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALavadeira,Series A,"1,700,000.00","CRP Companhia de Participaçõe, CVENTURES",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
nubelo,Venture - Series Unknown,"€ 1,500,000","Caixa Capital Risc, Mountain Nazca, Nero Ventures",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RingCaptcha,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MobLabs,Seed,"1,500,000.00","Clark Landry, NXTP Labs, Third Wave Digital",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siteware,Seed,"947,687.64","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Aventones,Venture - Series Unknown,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuve,Series A,"6,672,000.00","Alex Kahn, Alta Ventures Mexico, Capital Factory, Silverton Partners",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andes Biotechnologies,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozaico,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SegundoHogar,Seed,  ,"NXTP Labs, ZT Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayalo,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moneypool,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllShoppings,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woo-Hoo Studios,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"espiral Technologies, Inc.",Seed,  ,"Naranya Labs, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Opinion,Series A,"6,000,000.00","Felicis Ventures, Monashees, Polaris Partners, Scrum Ventures, True Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infracommerce,Venture - Series Unknown,"4,000,000.00","e.Bricks Ventures, Flybridge Capital Partners, Silvio Genesini, Valor Capital Group",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zolvers,Seed,"500,000.00","Jaguar Ventures, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concil,Series A,"2,269,288.96","DGF Investimentos, SP Ventures",,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Voy al Doc,Seed,"414,319.09","ALLVP, Angel Ventures, Evercore Partners, NALA Investments",,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prontmed,Seed,  ,"e.Bricks Ventures, Mario Letelier, Ro",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitalizarme,Venture - Series Unknown,"350,000.00","Aurus, Mountain Nazca",,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Club Point,Venture - Series Unknown,"400,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket.La,Seed,  ,"500 Startups, Angel Ventures, Anna Raptis, Crowdfunder, Escala.vc, Juan Martitegui, T2M Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Grupo Xango,Series B,  ,"Pinnacle Ventures, Redpoint, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IguanaFix,Seed,"1,650,000.00","Angel Ventures, Riverwood Capital, Soldiers Field Angels",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sophie & Juliete,Series B,  ,"Astella Investimentos, Redpoint eventures, Verus Group",,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Dot Legend,Seed,"945,537.07","Bozano Investimentos, Criatec 2, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Clip,Series A,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormaFina,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almashopping,Venture - Series Unknown,"650,000.00","Ennovva, Finaves S.C.R., NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubity,Seed,"702,000.00","500 Startups, ALLVP, Escala.vc",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Sports Box,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROCAFONE,Seed,"1,100,000.00","NXTP Labs, Quasar Builders, Wayra",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Converus,Venture - Series Unknown,"1,350,000.00","Alta Ventures Mexico, Kickstart Seed Fund, MHS Capital, Molecular Cloud, Peak Ventures",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Médica Santa Carmen,Series A,"253,292.61",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanderu,Series A,"5,600,000.00","500 Startups, Alta Ventures Mexico, BluePointe Ventures, Compound, Craig Lentzsch, Drummond Road Capital, Forefront Venture Partners, Foundry Group, Kirill Bensonoff, Klingenstein, Fields & Co, Marc Bell Ventures",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocket Supernova,Seed," ¥120,000,000 ","500 Startups, CyberAgent Capital, East Ventures, Investo, KLab Ventures",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFI,Venture - Series Unknown,  ,"Carlos Felipe Gutierrez, INVX, Velum Ventures",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Workana,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NubeliU,Seed,  ,"Kaszek Ventures, Storm Ventures",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSafe Technology,Series C,"15,000,000.00","e.ventures, Pinnacle Ventures, Qihoo 360 Technology, Redpoint, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Mondays,Seed,  ,"Brian Requarth, Kaszek Ventures",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TiZKKA,Seed,"250,000.00","Escala.vc, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carreira Beauty,Seed,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BovControl,Seed,"400,000.00","DOMO Invest, Redpoint eventures, Rodrigo Borges, Romero Rodrigues",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUVIP,Venture - Series Unknown,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
clickOnero,Series A,  ,"Angel Ventures, Capital Indigo",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPI,Seed,"1,000,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screenie,Convertible Note,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inprenha,Series A,"2,042,483.66",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Paid,Seed,"1,400,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technisys,Series B,"13,000,000.00","Alta Ventures Mexico, Endeavor Catalyst, Holdinvest, Intel Capital, Kaszek Ventures",,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiecco,Series A,  ,Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Elo7,Series C,"11,000,000.00","Accel, Insight Venture Partners, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runrun,Series A,"3,300,000.00","500 Startups, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bodaplanes,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tril,Seed,"800,000.00","Alec Oxenford, Inspirit Angels, Marcos Galperin, NXTP Labs, Wensceslao Casares",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicinia,Series A,  ,"IndicatorCapital, Monashees, Redpoint eventures",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plugg.To,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Catycan,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Nibo,Series A,  ,"Redpoint eventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubank,Series A,"14,300,000.00","Kaszek Ventures, Nicolas Berggruen, QED Investors, Sequoia Capital",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auth0,Seed,"2,400,000.00","Bessemer Venture Partners, K9 Ventures, NXTP Labs, Portland Seed Fund",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everypost,Seed,"850,000.00","Handmade Ventures, Krillion Ventures, NXTP Labs, Quixotic Ventures",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuscaLibre,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Cambur,Seed,"75,000.00","Digital News Ventures (MDIF Fund), North Base Media, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kueski,Seed,"1,300,000.00","Angel Ventures, Ariel Poler, Core Ventures Group, CrunchFund, GAIN - Guadalajara Angel Investor Network, Sobrato Family Foundation",,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuídate,Series A,"377,579.14",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueOpex,Series A,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Levee,Seed,"3,000,000.00","e.Bricks Ventures, Monashees, Qu",,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Seenapse,Seed,"275,000.00","Havas Group, Mountain Nazca, Wayra",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Meme,Seed,"75,000.00","Digital News Ventures (MDIF Fund), Media Development Investment Fund, North Base Media, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miroculus,Seed,"500,000.00","Mountain Nazca, Mountain Partners, OS Fund, Singularity University, StartX (Stanford-StartX Fund), Tresalia Capital",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reqlut,Seed,39.79,"Magma Partners, Wayra",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Properati,Series A,"2,000,000.00","NEVEQ, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAV,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hop.in,Seed,"50,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrebem,Convertible Note,"707,243.89","Confrapar, Lab22.co",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
TappTime,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Telon,Seed,"400,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sparkflow,Seed,"50,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admetricks,Seed,"50,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coleccionarte,Seed,"50,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moni,Seed,"998,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliglota,Seed," CLP150,000,000 ","Mountain Nazca, Wayra",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARED,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iBillionaire,Funding Round,"1,000,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC Trip,Seed,"150,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaro,Series A,  ,"Astella Investimentos, IG Business Angels, Simile Venture Partners, TA Ventures",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Kinostics,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnely,Seed,"988,000.00","500 Startups, Leanbirds, MITS Fund, NXTP Labs, Pallasite Ventures, Shawn Byers, Verizon Ventures",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levita Magnetics,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hostspot,Seed,"130,000.00","Investo, Naranya Ventures, Right Side Capital Management, VentureSpur",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GkillCity,Seed,"75,000.00","Digital News Ventures (MDIF Fund), Media Development Investment Fund, North Base Media, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promip,Series A,"1,763,668.43",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Loggi,Series A,"3,000,000.00","Monashees, Qualcomm Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciudad de Mascotas,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Kubo.financiero,Seed,"1,700,000.00",Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WoowUp,Seed,"200,000.00","500 Startups, Mola.com, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocina Mejor,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Flores Y Mas,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
VidAngel,Seed,"600,000.00","Alta Ventures Mexico, Kickstart Seed Fund, Stoneway Capital",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koibanx,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clip,Convertible Note,  ,Alta Ventures Mexico,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTA Latam,Seed,"600,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CargoX,Seed,"1,000,000.00","NXTP Labs, Valor Capital Group",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TinyBytes Games,Seed,"400,000.00","Marcos Galperin, NXTP Labs, Santiago Schettini",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADTsys Cloud Computing,Series A,  ,DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Shoe Lovers,Seed,  ,"500 Startups, Chinaccelerator, DILA Capital, SOSV, Tandem Capital",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Wideo,Seed,"460,000.00","500 Startups, NXTP Labs, South Ventures",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZoeMob,Convertible Note,  ,"e.Bricks Ventures, Valor Capital Group",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoome,Seed,"50,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Pricing Compass,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Posto,Seed,"925,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EchoPixel,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTANGIBLE INVESTMENTS,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pago Rural,Pre-Seed,"250,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FutureLeague,Seed,"1,200,000.00","DeNA, Doreen Huber, Eric Dunn, Haroon Mokhtarzada, Investo, Wefunder, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
